"sample Number","QuickSelect","DeterministicSelect","SelectK_InsertSort"
1,0.057,0.055,0.054
2,0.054,0.052,0.054
3,0.054,0.052,0.057
4,0.055,0.053,0.052
5,0.054,0.053,0.054
6,0.056,0.053,0.054
7,0.054,0.053,0.053
8,0.055,0.052,0.053
9,0.056,0.053,0.054
10,0.056,0.053,0.052
11,0.054,0.063,0.052
12,0.056,0.063,0.052
13,0.054,0.052,0.052
14,0.056,0.053,0.063
15,0.055,0.054,0.052
16,0.057,0.055,0.058
17,0.054,0.052,0.053
18,0.065,0.053,0.054
19,0.056,0.063,0.052
20,0.056,0.052,0.053
21,0.055,0.062,0.053
22,0.055,0.054,0.053
23,0.055,0.053,0.054
24,0.057,0.056,0.052
25,0.056,0.054,0.053
26,0.054,0.054,0.052
27,0.054,0.052,0.053
28,0.064,0.053,0.055
29,0.056,0.054,0.053
30,0.056,0.054,0.055
31,0.059,0.059,0.054
32,0.056,0.054,0.053
33,0.056,0.053,0.053
34,0.058,0.054,0.054
35,0.057,0.054,0.053
36,0.054,0.064,0.053
37,0.055,0.054,0.054
38,0.077,0.056,0.065
39,0.057,0.054,0.054
40,0.054,0.055,0.054
41,0.057,0.062,0.054
42,0.056,0.054,0.052
43,0.056,0.054,0.054
44,0.056,0.054,0.057
45,0.057,0.059,0.054
46,0.056,0.056,0.055
47,0.065,0.053,0.055
48,0.055,0.053,0.052
49,0.059,0.054,0.052
50,0.062,0.052,0.053
51,0.056,0.055,0.053
52,0.055,0.054,0.053
53,0.057,0.053,0.055
54,0.055,0.054,0.056
55,0.057,0.055,0.054
56,0.057,0.054,0.054
57,0.059,0.053,0.052
58,0.055,0.053,0.055
59,0.060,0.055,0.055
60,0.056,0.053,0.054
61,0.057,0.056,0.054
62,0.056,0.054,0.053
63,0.055,0.054,0.053
64,0.054,0.053,0.056
65,0.056,0.053,0.051
66,0.055,0.053,0.058
67,0.056,0.056,0.054
68,0.056,0.055,0.053
69,0.057,0.053,0.054
70,0.055,0.054,0.057
71,0.056,0.053,0.053
72,0.056,0.053,0.053
73,0.055,0.053,0.053
74,0.058,0.053,0.053
75,0.055,0.052,0.053
76,0.057,0.060,0.055
77,0.054,0.054,0.053
78,0.055,0.053,0.057
79,0.056,0.053,0.053
80,0.057,0.053,0.053
81,0.058,0.053,0.053
82,0.056,0.053,0.054
83,0.057,0.064,0.053
84,0.055,0.054,0.053
85,0.055,0.053,0.052
86,0.066,0.054,0.052
87,0.059,0.053,0.053
88,0.055,0.053,0.057
89,0.055,0.052,0.052
90,0.055,0.054,0.052
91,0.057,0.065,0.055
92,0.055,0.054,0.053
93,0.054,0.054,0.053
94,0.056,0.054,0.054
95,0.055,0.055,0.052
96,0.055,0.053,0.057
97,0.058,0.055,0.062
98,0.056,0.055,0.054
99,0.055,0.055,0.053
100,0.062,0.064,0.055
101,0.054,0.054,0.052
102,0.055,0.053,0.053
103,0.053,0.053,0.053
104,0.055,0.053,0.052
105,0.056,0.053,0.052
106,0.059,0.055,0.054
107,0.056,0.053,0.055
108,0.055,0.053,0.053
109,0.055,0.053,0.053
110,0.055,0.054,0.054
111,0.056,0.054,0.054
112,0.055,0.059,0.054
113,0.066,0.054,0.054
114,0.059,0.059,0.056
115,0.059,0.065,0.053
116,0.055,0.054,0.053
117,0.056,0.054,0.054
118,0.058,0.054,0.055
119,0.056,0.054,0.053
120,0.059,0.064,0.055
121,0.058,0.059,0.056
122,0.058,0.057,0.058
123,0.059,0.058,0.056
124,0.057,0.056,0.055
125,0.057,0.056,0.057
126,0.060,0.057,0.056
127,0.057,0.057,0.055
128,0.060,0.058,0.055
129,0.061,0.057,0.056
130,0.057,0.056,0.059
131,0.055,0.057,0.057
132,0.059,0.053,0.053
133,0.056,0.056,0.053
134,0.057,0.054,0.056
135,0.058,0.066,0.053
136,0.059,0.059,0.057
137,0.056,0.055,0.057
138,0.057,0.053,0.059
139,0.062,0.054,0.054
140,0.058,0.056,0.056
141,0.059,0.058,0.056
142,0.057,0.055,0.053
143,0.058,0.053,0.056
144,0.056,0.055,0.052
145,0.056,0.053,0.053
146,0.055,0.052,0.055
147,0.054,0.053,0.053
148,0.056,0.053,0.053
149,0.056,0.057,0.052
150,0.056,0.055,0.055
151,0.059,0.059,0.058
152,0.055,0.053,0.053
153,0.056,0.056,0.056
154,0.055,0.055,0.056
155,0.056,0.057,0.056
156,0.056,0.054,0.056
157,0.060,0.053,0.053
158,0.057,0.054,0.054
159,0.056,0.056,0.054
160,0.063,0.054,0.053
161,0.055,0.054,0.057
162,0.055,0.055,0.054
163,0.056,0.055,0.053
164,0.056,0.054,0.054
165,0.055,0.056,0.055
166,0.059,0.055,0.055
167,0.057,0.055,0.064
168,0.057,0.056,0.054
169,0.054,0.052,0.053
170,0.056,0.053,0.052
171,0.055,0.053,0.052
172,0.056,0.053,0.056
173,0.057,0.054,0.053
174,0.055,0.054,0.053
175,0.056,0.056,0.055
176,0.058,0.054,0.053
177,0.055,0.054,0.055
178,0.055,0.053,0.053
179,0.059,0.055,0.052
180,0.055,0.053,0.053
181,0.057,0.055,0.055
182,0.055,0.055,0.054
183,0.055,0.053,0.053
184,0.056,0.053,0.055
185,0.056,0.055,0.052
186,0.054,0.053,0.053
187,0.055,0.068,0.058
188,0.056,0.056,0.055
189,0.055,0.058,0.054
190,0.055,0.055,0.053
191,0.055,0.057,0.053
192,0.056,0.056,0.054
193,0.056,0.052,0.052
194,0.057,0.054,0.055
195,0.056,0.056,0.055
196,0.059,0.055,0.055
197,0.054,0.055,0.054
198,0.065,0.055,0.053
199,0.056,0.055,0.054
200,0.056,0.054,0.055
